No,Indonesia,Aceh,,Kamus
2375,Beliau memberikan apresiasi kepada semua peserta.,gopnyan bi apresiasi bak mandum peserta.,,
2376,Beliau memberikan apresiasi untuk hasil kerja keras.,gopnyan bi apresiasi keu hase keureuja kreueh.,,
2377,Beliau memberikan arahan dalam rapat koordinasi.,gopnyan bi arahan lam rapat koordinasi.,,
2378,Beliau memberikan arahan dengan jelas.,gopnyan bi arahan ngon jeulah.,,
2379,Beliau memberikan arahan dengan teliti.,gopnyan bi arahan ngon teliti.,,
2380,Beliau memberikan arahan sebelum acara dimulai.,gopnyan bi arahan sigohlom acara dimulai.,,
2381,Beliau memberikan arahan sebelum kegiatan dimulai.,gopnyan bi arahan sigohlom kegiatan dimulai.,,
2382,Beliau memberikan arahan sebelum latihan dimulai.,gopnyan bi arahan sigohlom latihan dimulai.,,
2383,Beliau memberikan arahan sebelum lomba dimulai.,gopnyan bi arahan sigohlom lumba dimulai.,,
2384,Beliau memberikan arahan sebelum perlombaan dimulai.,gopnyan bi arahan sigohlom perlombaan dimulai.,,
2385,Beliau memberikan arahan sebelum rapat dimulai.,gopnyan bi arahan sigohlom rapat dimulai.,,
2386,Beliau memberikan arahan yang sangat detail.,gopnyan bi arahan nyang that detail.,,
2387,Beliau memberikan ceramah tentang pentingnya membaca buku.,gopnyan bi ceramah teuntang peuntengjih baca buku.,,
2388,Beliau memberikan contoh baik kepada rekan kerja.,gopnyan bi contoh got bak rakan keureuja.,,
2389,Beliau memberikan contoh sikap disiplin.,gopnyan bi contoh sikap disiplin.,,
2390,Beliau memberikan contoh sikap kerja keras.,gopnyan bi contoh sikap keureuja kreueh.,,
2391,Beliau memberikan contoh yang baik kepada generasi muda.,gopnyan bi contoh nyang got bak generasi muda.,,
2392,Beliau memberikan hadiah kepada bibi.,gopnyan bi hadiyah keu miwa.,,
2393,Beliau memberikan hadiah kepada nenek.,gopnyan bi hadiyah keu nek.,,
2394,Beliau memberikan hadiah ulang tahun.,gopnyan bi hadiyah ulang thon.,,
2395,Beliau memberikan hadiah untuk anak-anak.,gopnyan bi hadiah keu aneuk-aneuk.,,
2396,Beliau memberikan inspirasi melalui ceritanya.,gopnyan bi inspirasi melalui ceritageuh.,,
2397,Beliau memberikan kado kecil untuk cucunya.,gopnyan bi kado ubeut keu cucogeuh.,,
2398,Beliau memberikan kuliah umum di auditorium kampus.,gopnyan bi kuliah umum bak auditorium kampus.,,
2399,Beliau memberikan kuliah umum tentang literasi digital.,gopnyan bi kuliah umum teuntang literasi digital.,,
2400,Beliau memberikan materi pelatihan dengan antusias.,gopnyan bi materi pelatihan ngon antusias.,,
2401,Beliau memberikan motivasi kepada peserta lomba.,gopnyan bi motivasi bak peserta lumba.,,
2402,Beliau memberikan motivasi kepada peserta pelatihan.,gopnyan bi motivasi bak peserta pelatihan.,,
2403,Beliau memberikan motivasi kepada seluruh peserta pelatihan.,gopnyan bi motivasi bak mandum peserta pelatihan.,,
2404,Beliau memberikan motivasi kepada seluruh tim.,gopnyan bi motivasi bak mandum tim.,,
2405,Beliau memberikan motivasi saat rapat staf.,gopnyan bi motivasi wate rapat staf.,,
2406,Beliau memberikan motivasi sebelum lomba dimulai.,gopnyan bi motivasi sigohlom lumba dimulai.,,
2407,Beliau memberikan motivasi sebelum perlombaan dimulai.,gopnyan bi motivasi sigohlom perlombaan dimulai.,,
2408,Beliau memberikan motivasi sebelum ujian akhir.,gopnyan bi motivasi sigohlom ujiyan akhe.,,
2409,Beliau memberikan motivasi yang sangat bermanfaat.,gopnyan bi motivasi nyang that meumanfaat.,,
2410,Beliau memberikan nasihat sebelum ujian dimulai.,gopnyan bi nasihat sigohlom ujiyan dimulai.,,
2411,Beliau memberikan nasihat yang bijak.,gopnyan bi nasihat nyang bijak.,,
2412,Beliau memberikan nasihat yang bijaksana.,gopnyan bi nasihat nyang bijaksana.,,
2413,Beliau memberikan pelatihan tentang kepemimpinan tim.,gopnyan bi pelatihan teuntang kepemimpinan tim.,,
2414,Beliau memberikan penghargaan bagi yang berprestasi.,gopnyan bi penghargaan bagi nyang meuprestasi.,,
2415,Beliau memberikan penghargaan kepada pegawai teladan.,gopnyan bi penghargaan bak pegawe teladan.,,
2416,Beliau memberikan penghargaan kepada peserta terbaik.,gopnyan bi penghargaan bak peserta paleng_got.,,
2417,Beliau memberikan penghargaan kepada peserta.,gopnyan bi penghargaan bak peserta.,,
2418,Beliau memberikan penghargaan kepada siswa berprestasi.,gopnyan bi penghargaan bak siswa meuprestasi.,,
2419,Beliau memberikan penghargaan kepada siswa teladan.,gopnyan bi penghargaan bak siswa teladan.,,
2420,Beliau memberikan penghargaan kepada siswa terbaik.,gopnyan bi penghargaan bak siswa paleng_got.,,
2421,Beliau memberikan penghargaan untuk hasil kerja keras.,gopnyan bi penghargaan keu hase keureuja kreueh.,,
2422,Beliau memberikan penjelasan dengan sabar.,gopnyan bi penjelasan ngon saba.,,
2423,Beliau memberikan penjelasan langkah demi langkah.,gopnyan bi penjelasan langkah demi langkah.,,
2424,Beliau memberikan penjelasan yang mudah dipahami.,gopnyan bi penjelasan nyang mangat dimeuphom.,,
2425,Beliau memberikan penjelasan yang sangat jelas.,gopnyan bi penjelasan nyang that jeulah.,,
2426,Beliau memberikan petunjuk dengan suara pelan.,gopnyan bi petunyok ngon sue pelan.,,
2427,Beliau memberikan petunjuk sebelum memulai lomba.,gopnyan bi petunyok sigohlom mulai lumba.,,
2428,Beliau memberikan petunjuk sebelum ujian.,gopnyan bi petunyok sigohlom ujiyan.,,
2429,Beliau memberikan petunjuk yang jelas kepada peserta.,gopnyan bi petunyok nyang jeulah bak peserta.,,
2430,Beliau memberikan pidato dalam acara peringatan.,gopnyan bi pidato lam acara peringatan.,,
2431,Beliau memberikan pidato di aula.,gopnyan bi pidato bak aula.,,
2432,Beliau memberikan pidato pada acara kelulusan.,gopnyan bi pidato bak acara kelulusan.,,
2433,Beliau memberikan salam hangat saat datang.,gopnyan bi saleuem hangat wate teuka.,,
2434,Beliau memberikan sambutan dalam acara perpisahan.,gopnyan bi sambotan lam acara perpisahan.,,
2435,Beliau memberikan sambutan dalam acara reuni.,gopnyan bi sambotan lam acara reuni.,,
2436,Beliau memberikan sambutan di acara pembukaan.,gopnyan bi sambotan bak acara pembukaan.,,
2437,Beliau memberikan sambutan hangat dalam acara pembukaan.,gopnyan bi sambotan hangat lam acara pembukaan.,,
2438,Beliau memberikan sambutan hangat kepada semua tamu.,gopnyan bi sambotan hangat bak mandum jamee.,,
2439,Beliau memberikan sambutan hangat pada acara pembukaan.,gopnyan bi sambotan hangat bak acara pembukaan.,,
2440,Beliau memberikan sambutan pada acara pembukaan.,gopnyan bi sambotan bak acara pembukaan.,,
2441,Beliau memberikan saran berharga tentang pengembangan karier.,gopnyan bi saran meuyum teuntang pengembangan karier.,,
2442,Beliau memberikan semangat kepada peserta lomba.,gopnyan bi semangat bak peserta lumba.,,
2443,Beliau memberikan semangat kepada semua peserta.,gopnyan bi semangat bak mandum peserta.,,
2444,Beliau memberikan semangat sebelum lomba.,gopnyan bi semangat sigohlom lumba.,,
2445,Beliau memberikan semangat sebelum perlombaan dimulai.,gopnyan bi semangat sigohlom perlombaan dimulai.,,
2446,Beliau memberikan testimoni tentang pengalaman belajarnya.,gopnyan bi testimoni teuntang pengalaman meurunoegeuh.,,
2447,Beliau memberikan testimoni tentang program pelatihan.,gopnyan bi testimoni teuntang program pelatihan.,,
2448,Beliau memberikan ucapan selamat kepada pemenang.,gopnyan bi ucapan selamat bak pemenang.,,
2449,Beliau memberikan ucapan selamat kepada peserta.,gopnyan bi ucapan selamat bak peserta.,,
2450,Beliau memberikan wejangan sebelum acara dimulai.,gopnyan bi wejangan sigohlom acara dimulai.,,
2451,Beliau memberikan wejangan sebelum perpisahan.,gopnyan bi wejangan sigohlom perpisahan.,,
2452,Beliau membersihkan rak buku lama.,gopnyan peugleh rak buku trep.,,
2453,Beliau membimbing mahasiswa dalam penelitian ilmiah.,gopnyan bimbing mahasiswa lam penelitian ilmiah.,,
2454,Beliau memetik bunga di kebun.,gopnyan pot bungong bak lampoh.,,
2455,Beliau memetik cabai di kebun.,gopnyan pot campli bak lampoh.,,
2456,Beliau memimpin rapat dengan sikap tegas namun ramah.,gopnyan pimpin rapat ngon sikap tegas tapi rumeh.,,
2457,Beliau meminjamkan bibi buku resep masakan.,gopnyan peupinyam miwa buku resep masakan.,,
2458,Beliau memotret kakek di taman bunga.,gopnyan potret yahnek bak taman bungong.,,
2459,Beliau menanam bunga di halaman rumah.,gopnyan pula bungong bak leun rumoh.,,
2460,Beliau menanam pohon mangga di kebun.,gopnyan pula bak mamplam bak lampoh.,,
2461,Beliau menanamkan rasa percaya diri kepada anak-anak didiknya.,gopnyan tanom rasa peucaya diri bak aneuk-aneuk didikgeuh.,,
2462,Beliau mencuci gelas bekas minum tamu.,gopnyan rhah glah bekas jep jamee.,,
2463,Beliau menekankan pentingnya etika kerja di setiap kesempatan.,gopnyan teugonkan peuntengjih etika keureuja bak tiep kesempatan.,,
2464,Beliau menemani bibi belanja di toko kain.,gopnyan peungon miwa belanja bak toko ija.,,
2465,Beliau menemani bibi ke dokter.,gopnyan peungon miwa u dokto.,,
2466,Beliau menemani bibi membeli kain batik baru.,gopnyan peungon miwa bloe ija batek baro.,,
2467,Beliau menemani bibi membeli kain.,gopnyan peungon miwa bloe ija.,,
2468,Beliau menemani bibi membeli kue.,gopnyan peungon miwa bloe kuweh.,,
2469,Beliau menemani bibi membeli perlengkapan dapur.,gopnyan peungon miwa bloe perlengkapan dapu.,,
2470,Beliau menemani bibi membeli perlengkapan masak.,gopnyan peungon miwa bloe perlengkapan maguen.,,
2471,Beliau menemani bibi membeli perlengkapan rumah.,gopnyan peungon miwa bloe perlengkapan rumoh.,,
2472,Beliau menemani bibi membeli sayuran.,gopnyan peungon miwa bloe gule.,,
2473,Beliau menemani kakek berjalan di halaman.,gopnyan peungon yahnek meujak bak leun.,,
2474,Beliau menemani kakek berjalan di taman sore.,gopnyan peungon yahnek meujak bak taman seupot.,,
2475,Beliau menemani kakek berjalan di taman.,gopnyan peungon yahnek meujak bak taman.,,
2476,Beliau menemani kakek berjalan keliling halaman rumah.,gopnyan peungon yahnek meujak keulileng leun rumoh.,,
2477,Beliau menemani kakek berjalan keliling taman.,gopnyan peungon yahnek meujak keulileng taman.,,
2478,Beliau menemani kakek berjalan santai di halaman rumah.,gopnyan peungon yahnek meujak santai bak leun rumoh.,,
2479,Beliau menemani kakek berjalan santai di taman rumah.,gopnyan peungon yahnek meujak santai bak taman rumoh.,,
2480,Beliau menemani kakek berjalan santai di taman.,gopnyan peungon yahnek meujak santai bak taman.,,
2481,Beliau menemani kakek berjalan santai pagi hari.,gopnyan peungon yahnek meujak santai beungoh uroe.,,
2482,Beliau menemani kakek berjalan sore di taman belakang.,gopnyan peungon yahnek meujak seupot bak taman likot.,,
2483,Beliau menemani kakek berjalan sore di taman.,gopnyan peungon yahnek meujak seupot bak taman.,,
2484,Beliau menemani kakek berjalan sore hari.,gopnyan peungon yahnek meujak seupot uroe.,,
2485,Beliau menemani kakek berjalan sore.,gopnyan peungon yahnek meujak seupot.,,
2486,Beliau menemani kakek berkunjung ke rumah tetangga.,gopnyan peungon yahnek u rumoh tetangga.,,
2487,Beliau menemani kakek berobat ke klinik.,gopnyan peungon yahnek meuubat u klinik.,,
2488,Beliau menemani kakek duduk di kursi taman.,gopnyan peungon yahnek duek bak kurusi taman.,,
2489,Beliau menemani kakek duduk di taman bunga.,gopnyan peungon yahnek duek bak taman bungong.,,
2490,Beliau menemani kakek duduk di taman.,gopnyan peungon yahnek duek bak taman.,,
2491,Beliau menemani kakek duduk di teras rumah.,gopnyan peungon yahnek duek bak teras rumoh.,,
2492,Beliau menemani kakek duduk santai di kursi taman belakang.,gopnyan peungon yahnek duek santai bak kurusi taman likot.,,
2493,Beliau menemani kakek duduk santai di kursi taman.,gopnyan peungon yahnek duek santai bak kurusi taman.,,
2494,Beliau menemani kakek duduk santai di taman belakang rumah.,gopnyan peungon yahnek duek santai bak taman likot rumoh.,,
2495,Beliau menemani kakek duduk santai di taman belakang.,gopnyan peungon yahnek duek santai bak taman likot.,,
2496,Beliau menemani kakek duduk santai di taman rumah.,gopnyan peungon yahnek duek santai bak taman rumoh.,,
2497,Beliau menemani kakek duduk santai di taman.,gopnyan peungon yahnek duek santai bak taman.,,
2498,Beliau menemani kakek duduk santai di teras rumah.,gopnyan peungon yahnek duek santai bak teras rumoh.,,
2499,Beliau menemani kakek duduk santai di teras.,gopnyan peungon yahnek duek santai bak teras.,,
2500,Beliau menemani kakek membaca buku cerita di teras rumah.,gopnyan peungon yahnek baca buku calitra bak teras rumoh.,,
2501,Beliau menemani kakek membaca buku cerita di teras.,gopnyan peungon yahnek baca buku calitra bak teras.,,
2502,Beliau menemani kakek membaca buku cerita lama.,gopnyan peungon yahnek baca buku calitra trep.,,
2503,Beliau menemani kakek membaca buku cerita.,gopnyan peungon yahnek baca buku calitra.,,
2504,Beliau menemani kakek membaca buku di teras rumah.,gopnyan peungon yahnek baca buku bak teras rumoh.,,
2505,Beliau menemani kakek membaca buku di teras.,gopnyan peungon yahnek baca buku bak teras.,,
2506,Beliau menemani kakek membaca buku.,gopnyan peungon yahnek baca buku.,,
2507,Beliau menemani kakek membaca koran di teras rumah.,gopnyan peungon yahnek baca koran bak teras rumoh.,,
2508,Beliau menemani kakek membaca koran di teras.,gopnyan peungon yahnek baca koran bak teras.,,
2509,Beliau menemani kakek membaca koran.,gopnyan peungon yahnek baca koran.,,
2510,Beliau menemani kakek membeli pupuk tanaman.,gopnyan peungon yahnek bloe pupok peunula.,,
2511,Beliau menemani kakek memeriksa kebun.,gopnyan peungon yahnek pareksa lampoh.,,
2512,Beliau menemani nenek berbelanja kain.,gopnyan peungon nek meubelanja ija.,,
2513,Beliau menemani nenek membeli perlengkapan dapur.,gopnyan peungon nek bloe perlengkapan dapu.,,
2514,Beliau menemani paman belanja bahan bangunan.,gopnyan peungon abuwa belanja bahan bangunan.,,
2515,Beliau menemani paman berbelanja.,gopnyan peungon abuwa meubelanja.,,
2516,Beliau menemani paman ke pasar.,gopnyan peungon abuwa u pasai.,,
2517,Beliau menemani paman ke toko perlengkapan rumah.,gopnyan peungon abuwa u toko perlengkapan rumoh.,,
2518,Beliau menemani paman membeli alat pertukangan.,gopnyan peungon abuwa bloe alat pertukangan.,,
2519,Beliau menemani paman membeli cat rumah.,gopnyan peungon abuwa bloe cat rumoh.,,
2520,Beliau menemani paman membeli cat tembok.,gopnyan peungon abuwa bloe cat binteh.,,
2521,Beliau menemani paman membeli kayu bakar.,gopnyan peungon abuwa bloe kayee bakar.,,
2522,Beliau menemani paman membeli peralatan listrik.,gopnyan peungon abuwa bloe peralatan listrek.,,
2523,Beliau menemani paman membeli peralatan rumah.,gopnyan peungon abuwa bloe peralatan rumoh.,,
2524,Beliau menemani paman membeli peralatan.,gopnyan peungon abuwa bloe peralatan.,,
2525,Beliau menemani paman membeli perlengkapan rumah.,gopnyan peungon abuwa bloe perlengkapan rumoh.,,
2526,Beliau menemani paman membeli perlengkapan taman.,gopnyan peungon abuwa bloe perlengkapan taman.,,
2527,Beliau menemani paman membeli pupuk organik.,gopnyan peungon abuwa bloe pupok organik.,,
2528,Beliau menemani paman membeli pupuk tanaman.,gopnyan peungon abuwa bloe pupok peunula.,,
2529,Beliau menemani paman membeli pupuk.,gopnyan peungon abuwa bloe pupok.,,
2530,Beliau mengajak bibi pergi ke toko kain.,gopnyan peungon miwa jak u toko ija.,,
2531,Beliau mengajarkan nilai kesabaran dalam kehidupan sehari-hari.,gopnyan peurunoe nilai kesabaran lam kehidopan siuroe-uroe.,,
2532,Beliau mengantar kakek ke tempat pengajian.,gopnyan intat nek u teumpat pengajian.,,
2533,Beliau mengantar paman ke stasiun kereta.,gopnyan intat abuwa u stasiyon kereta.,,
2534,Beliau mengenakan baju batik biru.,gopnyan sok bajee batek biru.,,
2535,Beliau mengenakan batik cokelat hari ini.,gopnyan sok batek coklat uroe nyoe.,,
2536,Beliau mengenakan batik saat acara resmi.,gopnyan sok batek wate acara resmi.,,
2537,Beliau mengenakan celana kain abu-abu.,gopnyan sok luweue ija abu-abu.,,
2538,Beliau mengenakan celana kain krem hari ini.,gopnyan sok luweue ija krem uroe nyoe.,,
2539,Beliau mengenakan celana panjang krem.,gopnyan sok luweue panyang krem.,,
2540,Beliau mengenakan jaket hitam tebal.,gopnyan sok jaket hitam teubai.,,
2541,Beliau mengenakan jaket tebal saat hujan.,gopnyan sok jaket teubai wate ujeuen.,,
2542,Beliau mengenakan jas abu-abu untuk acara resmi.,gopnyan sok jas abu-abu keu acara resmi.,,
2543,Beliau mengenakan jas hitam saat acara resmi.,gopnyan sok jas itam wate acara resmi.,,
2544,Beliau mengenakan jas resmi saat upacara.,gopnyan sok jas resmi wate upacara.,,
2545,Beliau mengenakan kaos putih polos.,gopnyan sok kaoh puteh polos.,,
2546,Beliau mengenakan kemeja biru muda hari ini.,gopnyan sok kemeja biru muda uroe nyoe.,,
2547,Beliau mengenakan kemeja biru muda.,gopnyan sok kemeja biru muda.,,
2548,Beliau mengenakan kemeja biru tua hari ini.,gopnyan sok kemeja biru tuha uroe nyoe.,,
2549,Beliau mengenakan kemeja putih rapi.,gopnyan sok kemeja puteh rapi.,,
2550,Beliau mengenakan kemeja putih saat pertemuan.,gopnyan sok kemeja puteh wate pertemuan.,,
2551,Beliau mengenakan sepatu hitam formal.,gopnyan sok sipatu itam formal.,,
2552,Beliau mengenakan topi hitam saat keluar rumah.,gopnyan sok topi itam wate teubit rumoh.,,
2553,Beliau mengenakan topi lebar saat ke kebun.,gopnyan sok topi lebar wate u lampoh.,,
2554,Beliau mengenakan topi saat berjalan di luar.,gopnyan sok topi watee meujak di luwa.,,
2555,Beliau menjadi contoh teladan bagi para muridnya.,gopnyan jeuetkeu contoh teladan bagi mandum muridgeuh.,,
2556,Beliau menjadi juri dalam lomba pidato nasional.,gopnyan jeuetkeu juri lam lumba pidato nasional.,,
2557,Beliau menjadi juri dalam perlombaan seni rupa.,gopnyan jeuetkeu juri lam perlombaan seni rupa.,,
2558,Beliau menjadi mentor bagi banyak generasi muda.,gopnyan jeuetkeu mentor bagi le generasi muda.,,
2559,Beliau menjadi moderator dalam acara diskusi.,gopnyan jeuetkeu moderator lam acara diskusi.,,
2560,Beliau menjadi moderator dalam diskusi panel nasional.,gopnyan jeuetkeu moderator lam diskusi panel nasional.,,
2561,Beliau menjadi narasumber acara literasi digital.,gopnyan jeuetkeu narasumber acara literasi digital.,,
2562,Beliau menjadi narasumber dalam acara seminar nasional.,gopnyan jeuetkeu narasumber lam acara seminar nasional.,,
2563,Beliau menjadi panitia dalam kegiatan sosial desa.,gopnyan jeuetkeu panitia lam kegiatan sosial gampong.,,
2564,Beliau menjadi pembicara dalam seminar kewirausahaan.,gopnyan jeuetkeu pembicara lam seminar kewirausahaan.,,
2565,Beliau menjadi pembicara dalam seminar motivasi.,gopnyan jeuetkeu pembicara lam seminar motivasi.,,
2566,Beliau menjadi pembicara dalam seminar nasional pekan lalu.,gopnyan jeuetkeu pembicara lam seminar nasional peukan dilee.,,
2567,Beliau menjadi pembina acara kampanye kesehatan.,gopnyan jeuetkeu pembina acara kampanye kesehatan.,,
2568,Beliau menjadi pembina dalam kegiatan pramuka.,gopnyan jeuetkeu pembina dalam kegiatan pramuka.,,
2569,Beliau menjadi pembina kegiatan pramuka di sekolah.,gopnyan jeuetkeu pembina kegiatan pramuka bak sikula.,,
2570,Beliau menjawab pertanyaan dengan jelas dan sabar.,gopnyan jaweueb pertanyaan ngon jeulah dan saba.,,
2571,Beliau menjawab pertanyaan dengan sabar.,gopnyan jaweueb pertanyaan ngon saba.,,
2572,Beliau menjawab semua pertanyaan dengan jelas.,gopnyan jaweueb mandum pertanyaan ngon jeulah.,,
2573,Beliau menjawab semua pertanyaan dengan sabar.,gopnyan jaweueb mandum pertanyaan ngon saba.,,
2574,Beliau menjelaskan aturan baru dengan detail.,gopnyan peujeulah atoran baro ngon detail.,,
2575,Beliau menjelaskan aturan dengan jelas.,gopnyan peujeulah atoran ngon jeulah.,,
2576,Beliau menjelaskan cara kerja alat baru itu.,gopnyan peujeulah cara keureuja alat baro nyan.,,
2577,Beliau menjelaskan cara kerja alat ini.,gopnyan peujeulah cara keureuja alat nyoe.,,
2578,Beliau menjelaskan cara kerja mesin ini dengan rinci.,gopnyan peujeulah keureuja meusen nyoe ngon rinci.,,
2579,Beliau menjelaskan langkah-langkah dengan detail.,gopnyan peujeulah langkah-langkah ngon detail.,,
2580,Beliau menjelaskan langkah-langkah kegiatan dengan sabar.,gopnyan peujeulah langkah-langkah kegiatan ngon saba.,,
2581,Beliau menjelaskan langkah-langkahnya dengan detail.,gopnyan peujeulah langkah-langkahjih ngon detail.,,
2582,Beliau menjelaskan materi dengan bahasa sederhana.,gopnyan peujeulah materi ngon basa sederhana.,,
2583,Beliau menjelaskan materi dengan cara yang mudah dipahami.,gopnyan peujeulah materi ngon cara nyang mudah dimeuphom.,,
2584,Beliau menjelaskan materi dengan detail.,gopnyan peujeulah materi ngon detail.,,
2585,Beliau menjelaskan materi dengan suara tenang.,gopnyan peujeulah materi ngon sue tenang.,,
2586,Beliau menjelaskan materi pelajaran dengan sabar.,gopnyan peujeulah materi pelajaran ngon saba.,,
2587,Beliau menjelaskan prosedur dengan jelas.,gopnyan peujeulah prosedur ngon jeulah.,,
2588,Beliau menjelaskan prosedur kerja dengan detail.,gopnyan peujeulah prosedur keureuja ngon detail.,,
2589,Beliau menjelaskan proses pendaftaran secara rinci.,gopnyan peujeulah proses pendaftaran secara rinci.,,
2590,Beliau menonton acara berita pagi.,gopnyan nonton acara berita beungoh.,,
2591,Beliau menonton acara religi pagi.,gopnyan nonton acara religi beungoh.,,
2592,Beliau menonton pertunjukan seni tradisional.,gopnyan nonton pertunjukkan seni tradisional.,,
2593,Beliau menonton siaran berita malam.,gopnyan nonton siaran berita malam.,,
2594,Beliau menulis artikel kesehatan di surat kabar.,gopnyan tuleh artikel kesehatan bak surat haba.,,
2595,Beliau menulis artikel tentang budaya lokal.,gopnyan tuleh artikel teuntang budaya lokal.,,
2596,Beliau menulis artikel tentang kebiasaan membaca.,gopnyan tuleh artikel teuntang kebiyasaan baca.,,
2597,Beliau menulis artikel tentang pola hidup sehat.,gopnyan tuleh artikel teuntang pola udep sehat.,,
2598,Beliau menulis buku motivasi yang inspiratif.,gopnyan tuleh buku motivasi nyang inspiratif.,,
2599,Beliau menulis buku panduan belajar efektif.,gopnyan tuleh buku panduan meurunoe efektif.,,
2600,Beliau menulis buku panduan belajar mandiri.,gopnyan tuleh buku panduan meurunoe mandiri.,,
2601,Beliau menulis buku sejarah daerah tempat tinggalnya.,gopnyan tuleh buku sejarah daerah teumpat tinggaigeuh.,,
2602,Beliau menulis buku tentang sejarah kebudayaan Indonesia.,gopnyan tuleh buku teuntang sejarah kebudayaan indonesia.,,
2603,Beliau menulis cerpen yang diterbitkan di surat kabar lokal.,gopnyan tuleh cerpen nyang dipeutubiet bak surat haba lokal.,,
2604,Beliau menyapa ramah semua orang.,gopnyan sapa rumeh mandum ureueng.,,
2605,Beliau menyiapkan acara keluarga.,gopnyan peusiap acara keluarga.,,
2606,Beliau menyiapkan acara pengajian.,gopnyan peusiap acara pengajian.,,
2607,Beliau menyiapkan bahan masakan di dapur.,gopnyan peusiap bahan masakan bak dapu.,,
2608,Beliau menyiram bunga setiap pagi.,gopnyan siram bungong tiep beungoh.,,
2609,Beliau merapikan dokumen di meja kerja.,gopnyan peurapi dokumen bak meja keureuja.,,
2610,Beliau merapikan kursi di aula pertemuan.,gopnyan peurapi kurusi bak aula pertemuan.,,
2611,Beliau merapikan kursi di ruang kerja.,gopnyan peurapi kurusi bak ruang keureuja.,,
2612,Beliau merapikan kursi di ruang_tamu.,gopnyan peurapi kurusi bak seuramoe.,,
2613,Beliau merapikan kursi ruang_tamu.,gopnyan peurapi kurusi seuramoe.,,
2614,Beliau merapikan kursi sebelum acara dimulai.,gopnyan peurapi kurusi sigohlom acara dimulai.,,
2615,Beliau merapikan kursi setelah rapat selesai.,gopnyan peurapi kurusi lheueh rapat lheueh.,,
2616,Beliau merapikan kursi tamu sebelum acara.,gopnyan peurapi kurusi jamee sigohlom acara.,,
2617,Beliau merapikan kursi tamu.,gopnyan peurapi kurusi jamee.,,
2618,Beliau merapikan meja kerja di kantor.,gopnyan peurapi meja keureuja bak kanto.,,
2619,Beliau merapikan meja kerja sebelum pulang.,gopnyan peurapi meja keureuja sigohlom jakwoe.,,
2620,Beliau merapikan meja kerja setelah rapat.,gopnyan peurapi meja keureuja lheueh rapat.,,
2621,Beliau merapikan meja kerja.,gopnyan peurapi meja keureuja.,,
2622,Beliau merapikan meja makan setelah makan malam.,gopnyan peurapi meja pajoh lheueh pajoh malam.,,
2623,Beliau merapikan meja makan setelah sarapan.,gopnyan peurapi meja pajoh lheueh sarapan.,,
2624,Beliau merapikan meja ruang_tamu.,gopnyan peurapi meja seuramoe.,,
2625,Beliau merapikan meja sebelum tamu datang.,gopnyan peurapi meja sigohlom jamee teuka.,,
2626,Beliau merapikan meja tamu sebelum acara.,gopnyan peurapi meja jamee sigohlom acara.,,
2627,Beliau merapikan rak buku di kantor.,gopnyan peurapi rak buku bak kanto.,,
2628,Beliau merapikan rak buku di perpustakaan.,gopnyan peurapi rak buku bak perpustakaan.,,
2629,Beliau merapikan rak majalah di sudut ruangan.,gopnyan peurapi rak majalah bak sagoe ruangan.,,
2630,Beliau merapikan rak piring di dapur.,gopnyan peurapi rak pingan bak dapu.,,
2631,Beliau merapikan rak sepatu di teras.,gopnyan peurapi rak sipatu bak teras.,,
2632,Beliau merapikan ruang_tamu.,gopnyan peurapi seuramoe.,,
2633,Beliau pandai memilih bibit unggul.,gopnyan carong pileh bibet unggul.,,
2634,Beliau pandai memperbaiki jaring robek.,gopnyan carong peubeutoi nyareng koyak.,,
2635,Beliau pandai merawat tanaman buah.,gopnyan carong rawat peunula boh.,,
2636,Beliau pernah mengalami masalah empedu.,gopnyan tom alami masalah empedu.,,
2637,Beliau pernah operasi batu ginjal.,gopnyan tom operasi batee ginjal.,,
2638,Beliau pernah operasi usus buntu beberapa tahun lalu.,gopnyan tom operasi usus buntu meupadum thon dilee.,,
2639,Beliau pernah operasi usus buntu.,gopnyan tom operasi usus buntu.,,
2640,Beliau punya banyak ayam petelur.,gopnyan na le manok petelur,,
2641,Beliau punya banyak kambing di kandang.,gopnyan na le kameng bak weue.,,
2642,Beliau punya banyak kambing sehat.,gopnyan na le kameng sihat.,,
2643,Beliau punya banyak pengalaman melaut.,gopnyan na le pengalaman meulaot.,,
2644,Beliau punya banyak pohon karet tua.,gopnyan na le bak karet tuha.,,
2645,Beliau punya banyak sahabat sejak kecil.,gopnyan na le sahabat dari ubeut.,,
2646,Beliau punya kandang ayam besar.,gopnyan na keureupoh manok rayek.,,
2647,Beliau punya kandang sapi yang luas.,gopnyan na weue leumo nyang luwah.,,
2648,Beliau punya kebun karet di desa.,gopnyan na lampoh karet bak gampong.,,
2649,Beliau punya kebun kopi di lereng gunung.,gopnyan na lampoh kupi bak lereng gunong.,,
2650,Beliau punya kebun kopi yang luas.,gopnyan na lampoh kupi nyang luwah.,,
2651,Beliau punya kebun singkong di belakang rumah.,gopnyan na lampoh ubi di likot rumoh.,,
2652,Beliau punya kebun teh yang luas.,gopnyan na lampoh te nyang luwah.,,
2653,Beliau punya kebun yang luas sekali.,gopnyan na lampoh nyang luwah that.,,
2654,Beliau punya kios sayur yang ramai pembeli.,gopnyan na kios gule nyang rame ureuengbloe.,,
